Domain,Context,Attributes,Template
Kmart,Baby_Clothing,"<AT_closure_type>,<AT_neck_type>,<AT_product_type>",<p> This basic <AT_product_type> will keep your little one snug and cosy while they play with they toys. </p>  <ul>  <li> Fabric content: Cotton </li>  <li> <AT_neck_type> neck </li>  <li> Front <AT_closure_type> </li>  <li> Cuffed hem </li>  <li> Hand wash according to instructions on the care label </li>  </ul>  <p> Style ID 128959 </p>
Kmart,Baby_Clothing,"<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","<p> Soft and cosy, these <AT_sleeve_type> <AT_type> will keep your baby comfy all day long. </p>  <ul>  <li> Fabric content: <AT_material> or cotton/viscose or cotton/polyester </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 128987 </p>"
Kmart,Baby_Clothing,"<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>",<p> Your little one will look adorable and feel super comfy in this plain <AT_type> - ideal for everyday use. </p>  <ul>  <li> Fabric content: Cotton </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 129180 </p>
Kmart,Baby_Clothing,"<AT_material>,<AT_neck_type>,<AT_product_type>,<AT_sleeve_type>,<AT_wash_instruction>","<p> Designed with playful prints, this comfy <AT_product_type> will make your cute munchkin look even more adorable. </p>  <ul>  <li> Fabric content: <AT_material> </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> Ribbed cuffs and hem </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 129881 </p>"
Kmart,Baby_Clothing,"<AT_closure_type>,<AT_fit>,<AT_material>,<AT_neck_type>,<AT_pocket_type>,<AT_product_type>,<AT_sleeve_type>,<AT_wash_instruction>","<p> Your little munchkin will look adorable in this comfy <AT_product_type> that features a comfy, <AT_fit> fit. </p>  <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> <AT_closure_type> </li>  <li> 1 <AT_pocket_type> </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 130885 </p>"
Kmart,Baby_Clothing,"<AT_closure_type>,<AT_fit>,<AT_material>,<AT_neck_type>,<AT_pocket_type>,<AT_sleeve_type>,<AT_wash_instruction>",Your darling little one will look smart and adorable in this stylish check shirt. <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> <AT_closure_type> </li>  <li> <AT_pocket_type> </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 130886
Kmart,Baby_Clothing,"<AT_closure_type>,<AT_fit>,<AT_material>,<AT_pocket_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>",<p> Your baby will look smart and adorable in this <AT_type> that features a grandpa collar and button down front. </p>  <ul>  <li> Linen and <AT_material> </li>  <li> Grandpa collar </li>  <li> <AT_sleeve_type> </li>  <li> <AT_closure_type> </li>  <li> 1 <AT_pocket_type> </li>  <li> Functional sleeve placket opening </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 130994 </p>
Kmart,Baby_Clothing,"<AT_material>,<AT_neck_type>,<AT_product_type>,<AT_wash_instruction>","<p> With a cute placement print on the front, this <AT_product_type> will make your little darling look even more adorable. </p>  <ul>  <li> Fabric content: <AT_material> or cotton/polyester </li>  <li> <AT_neck_type> neck </li>  <li> Long raglan sleeves </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131343 </p>"
Kmart,Baby_Clothing,"<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","<p> Designed with prints that are as cute as your little munchkin, this relaxed fit <AT_type> will keep them comfy and snug. </p>  <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> Relaxed fit </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131346 </p>"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","<p> With cute prints and a soft feel, this <AT_type> offers a <AT_fit> fit to your tiny tot. </p>  <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131347 </p>"
Kmart,Baby_Clothing,"<AT_material>,<AT_neck_type>,<AT_pocket_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","<p> Snug in fit and feel, these long sleeved <AT_type> will keep your little darling comfy all day long. </p>  <ul>  <li> <AT_material> or cotton/viscose </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> 1 <AT_pocket_type> on one of the <AT_type> </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131353 </p>"
Kmart,Baby_Clothing,"<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","<p> Snug in fit and feel, these long sleeved <AT_type> will keep your little darling comfy all day long. </p>  <ul>  <li> <AT_material> or cotton/viscose </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131354 </p>"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","<p> Designed with cute prints and a <AT_fit> fit, this sweat <AT_type> will keep your little sweetheart warm and comfy all day long. </p>  <ul>  <li> <AT_material> or cotton/elastane </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> Ribbed cuffs and hem </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131356 </p>  </ul>"
Kmart,Baby_Clothing,"<AT_material>,<AT_neck_type>,<AT_product_type>,<AT_sleeve_type>,<AT_wash_instruction>",The cute prints on this <AT_product_type> make it a great pick for your little one to sport with a skirt or denim shorts. <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> Ribbed cuffs and hem </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 131357
Kmart,Baby_Clothing,"<AT_material>,<AT_neck_type>,<AT_pocket_type>,<AT_product_type>,<AT_sleeve_type>,<AT_wash_instruction>","<AT_product_type> your child in this comfy <AT_product_type> to keep them warm and cosy on one of those chilly day outings. <ul>  <li> <AT_material> or cotton/viscose or cotton/polyester </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> Ribbed cuffs, hem and hood </li>  <li> <AT_pocket_type> </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 131358"
Kmart,Baby_Clothing,"<AT_material>,<AT_neck_type>,<AT_product_type>,<AT_sleeve_type>,<AT_wash_instruction>","<p> Featuring a print that is as cute as your baby, this <AT_product_type> will keep them warm and comfy all day long. </p>  <ul>  <li> <AT_material> or cotton/viscose </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> Ribbed cuffs and hem </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131359 </p>"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","With <AT_sleeve_type> and a <AT_neck_type> neck, this <AT_type> offers a soft and snug fit for your tiny tot. <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 131584"
